user_id	cluster_label
0	2
1	0
2	2
3	1
4	2
5	2
6	1
7	4
8	5
9	5
10	5
11	1
12	4
13	2
14	5
15	4
16	4
17	1
18	6
19	4
20	0
21	4
22	0
23	2
24	5
25	2
26	3
27	3
28	0
29	5
30	6
31	2
32	3
33	2
34	6
35	3
36	2
37	6
38	2
39	2
40	3
41	5
42	2
43	2
44	2
45	1
46	2
47	3
48	5
49	5
50	5
51	1
52	4
53	2
54	1
55	1
56	5
57	5
58	6
59	0
60	6
61	4
62	6
63	0
64	2
65	0
66	2
67	2
68	0
69	3
70	2
71	4
72	6
73	2
74	4
75	3
76	4
77	5
78	5
79	0
80	3
81	3
82	3
83	2
84	2
85	2
86	1
87	6
88	0
89	0
90	1
91	2
92	1
93	3
94	1
95	1
96	0
97	1
98	4
99	2
100	6
101	3
102	4
103	4
104	4
105	6
106	2
107	6
108	5
109	6
110	3
111	2
112	4
113	1
114	6
115	5
116	4
117	4
118	1
119	6
120	1
121	6
122	3
123	3
124	6
125	6
126	1
127	4
128	3
129	0
130	6
131	1
132	5
133	5
134	0
135	0
136	6
137	6
138	0
139	1
140	2
141	0
142	1
143	5
144	2
145	6
146	6
147	5
148	1
149	3
150	3
151	2
152	6
153	6
154	0
155	4
156	4
157	0
158	5
159	3
